spot,A,B,C,D,E,F,G,H,I,J
-1.2527953600499262x0.4355461592956536x1,1.9908398,2.6453905,4.9625187,1.5286907,5.279006,13.593904,6.273901,7.7364683,8.972083,7.0534434
0.7774903558319101x-0.5992242774597194x1,0.6797539,0.88724184,3.271633,0.73297524,1.6549842,4.091412,2.098308,2.4415057,1.6294063,1.817242
-1.6138978475579515x0.0330897511387602x1,1.3113701,1.750816,4.1393323,1.5052669,3.6884687,5.2010727,4.5711823,4.9621983,4.0551777,6.5305715
-0.2127402802139687x-0.8541612608143545x1,0.8569375,1.1356113,1.2953912,0.76472515,1.8910394,3.1338646,2.088474,2.3457983,2.3028421,1.4243252
-0.8954665611936756x-0.7199405321418947x1,1.1222214,1.1343287,1.7838093,0.7946939,2.26379,5.5234876,2.4820933,4.6506486,3.7580144,2.7671936
0.386902497859262x-0.8935744023141913x1,0.87711483,1.0298856,1.606999,0.74376696,1.5089194,2.1379356,2.4835496,1.9291523,1.5981241,1.0597876
-0.510805137568873x-0.15602389099728736x1,0.88347846,1.5681957,2.765528,0.8532939,3.3592513,4.570047,2.6957777,3.4193025,2.5663254,3.883808
-1.180632184122412x1.0490931879200103x1,1.5608864,2.3579414,2.771548,1.6013954,4.550109,6.276219,4.365566,5.091973,5.5265093,4.60634
-0.028182228338654868x3.1709747732901796x1,2.451808,4.5433207,4.2039547,2.5973969,7.4316607,10.269275,8.672591,7.4266877,4.910282,4.6703863
0.42833187053041766x0.18949963754791346x1,1.5613536,2.5828404,5.593593,1.5178461,4.4972086,7.869453,6.516819,5.6289973,4.1964917,3.793788
0.06651722238316789x-1.34841308775612x1,0.49263236,0.53136706,1.0140035,0.46600375,0.85856104,2.3076332,1.1229981,1.7366695,1.113366,0.75840217
0.3024718977397814x1.264983329856256x1,2.2323663,3.8503602,4.498263,1.7740948,4.9619846,6.6163383,7.7521296,4.970607,4.6443505,2.4413886
-0.6343220936809636x-0.3007838764760271x1,0.75760245,0.86970997,1.4862715,0.634802,1.8092285,3.2916431,2.1842587,2.90077,2.107044,2.29412
-0.3627411659871381x-0.660608593976992x1,0.6057538,0.92282975,1.2866302,0.5805155,1.48397,3.855139,1.5984316,2.3975275,1.9829468,1.4782978
-0.672460447775951x0.2098494779230553x1,1.5134856,2.0554707,2.9692488,1.2360756,4.6714015,5.372534,3.977801,5.397182,4.6830945,5.445909
-0.3595531615405413x-1.2406245995562275x1,0.54217315,0.6458447,0.8517043,0.4576708,0.9899001,3.0900488,1.1564946,2.1047049,1.5669626,0.96992284
-0.813146282044454x0.22246316400860677x1,1.4203466,1.7406129,2.3853061,1.194221,3.7502415,4.2470307,3.5653262,4.2455997,3.9289708,4.146348
-1.7262826023316769x-0.08837552319915497x1,1.0805317,1.6867042,3.2151735,1.1469663,2.8645089,4.1914096,3.826365,4.0445404,2.7132254,4.2883534
0.17742614225375283x0.09837790681547566x1,0.92180645,1.3346298,3.295324,0.88976645,2.2195485,3.5686393,2.6035314,2.882995,2.268253,2.0262265
-0.4017809362082619x0.38141625420917086x1,1.5854231,2.6185648,2.6970317,1.3126515,5.237215,7.213672,5.6277246,5.210544,5.569847,3.9347098
-1.6301983469660446x0.0674922572408068x1,1.4219689,1.7304605,5.0936127,1.6088986,4.154945,5.782027,4.4151344,5.3926587,4.569772,7.5240803
0.4627822555257742x0.016338084112892493x1,0.9959041,1.7212704,3.957098,1.1203159,2.4539578,4.728642,6.6151977,4.2807145,2.5380669,3.218437
-0.9072983643832422x0.2843145189979445x1,1.8940793,2.5478954,2.934275,1.4840649,5.853121,6.9700756,4.814233,6.561049,6.0309157,5.8026648
0.05194539579613895x0.41540062617112683x1,1.4259847,2.4201472,3.1757734,1.2847553,3.8614233,7.6154747,5.134767,4.6739197,4.092456,2.5966375
0.7290905621775369x-1.0314824603152577x1,0.57720244,0.74055994,1.3634453,0.54390556,1.1291645,2.1711862,1.5079272,1.5354292,1.2793174,0.97870964
0.12898291075741067x-1.4299912586854484x1,0.4688987,0.47045386,1.0979834,0.46572277,0.83178836,2.302731,0.86648786,1.573515,1.1693645,0.6863305
1.1394006845433007x-0.061638052172214755x1,0.94701874,1.4854394,4.0451493,0.9693962,2.4350176,3.74811,4.280896,3.219829,2.1630855,3.039506
-1.2348258203536526x-1.432735489934108x1,0.53260607,0.6115784,1.398056,0.5237576,1.2973173,3.7786386,1.1809704,2.256341,1.8503686,1.5735763
0.402341641177549x0.08753147092167086x1,1.2624929,1.7268636,4.7224317,1.2710155,2.9234657,4.240712,5.9880595,4.2496266,2.6181815,3.1202538
-0.6848100909403132x0.9387468756823101x1,1.813175,2.5747128,2.6333833,1.4592144,4.2179832,4.672957,5.027793,6.1942506,4.0677466,5.2086773
-0.8707971491818818x0.6071116719160459x1,1.5478438,2.3302531,2.842276,1.4849671,5.0544167,5.2439613,5.1998177,5.4649677,5.1034713,4.4355717
-0.5788496647644155x-1.0481704068254731x1,0.64650065,0.6996382,0.8973328,0.555431,1.2441752,2.6515079,1.3172264,2.0651913,1.8517871,1.54606
-0.31155253212737266x-0.8602624519575188x1,0.8005346,1.0701734,1.2258917,0.7188639,1.823823,3.2879324,1.9086803,2.2303917,2.4706523,1.3703457
0.05616534222974544x0.3283012950007554x1,1.3023974,2.4038508,2.8902872,1.3169686,4.361804,6.0033426,4.546483,4.5187993,3.371015,2.740122
-1.1651498407833565x-0.40129780513351004x1,0.9464389,1.1817236,2.5167422,0.7503745,1.997432,6.1811695,3.1731844,4.589223,3.1787357,2.7670403
0.9008264869541871x-0.31665529505210693x1,0.994662,1.1156824,4.170466,0.8707358,2.323629,6.73935,3.8858988,4.540336,2.209189,2.22697
0.46566243973045984x0.5969064812479539x1,1.4561151,2.7378068,5.1612325,1.478276,4.3862295,6.029544,7.2919545,5.2594757,3.7616796,2.837399
-1.5362436862772237x-0.9872866934576524x1,0.79136366,0.86345214,1.4300216,0.8411015,1.7875907,3.1111777,1.6335747,2.0891101,2.708268,2.1931322
1.4882521937955997x-0.40123470991118243x1,1.0558057,1.8371444,4.633678,1.1650183,2.5486786,5.3566017,6.0369635,4.0593553,3.2194614,2.5640018
1.8958891760305832x-0.8000824760846013x1,1.0402508,1.2570797,2.398699,0.98718554,2.173908,4.0284824,2.4881575,3.3326359,3.1680045,2.3985732
1.1787795711596507x-1.0431294980353556x1,0.71545106,0.77269024,1.6051908,0.64488834,1.2164348,2.4880526,1.9907539,2.1410842,1.5640943,1.303599
-0.17992483581235091x-0.8570781886711647x1,0.8082777,1.0655128,1.1839573,0.71986675,1.8394736,2.8027623,1.8766015,2.1558068,2.1375332,1.551214
-1.0707526215105425x0.6774621693464117x1,1.5809538,2.4256387,3.3700948,1.5745627,4.9811683,6.4201665,4.825382,5.3743873,5.008148,4.301643
1.0544517269311366x0.05182038948242156x1,1.233921,1.5344868,7.4196725,1.2792242,2.9592013,5.9654756,5.206034,4.876324,2.715814,3.9219124
-0.40317694697317963x-0.8791606288350748x1,0.7118341,0.9502362,1.0932988,0.6924993,1.8008027,2.846741,1.5712608,1.7765163,2.3466814,1.5854846
1.2224450703824274x-0.23110160759299653x1,1.1176016,1.5605357,5.9888783,1.0218624,2.8984218,6.4370522,4.9988613,4.5729775,2.5882847,3.4084582
0.2082749780768603x-1.6388073071221778x1,0.39577,0.5046635,0.90317124,0.37736282,0.70879334,2.9116347,0.8366072,1.6502663,1.0348294,0.68923277
0.9766390364837128x-0.7333128075836657x1,0.77287775,0.8470214,2.3632398,0.577714,1.3710301,3.9408734,2.1295125,3.2058556,1.5532478,1.5215727
0.3563663971744019x2.149574534867287x1,3.2633078,5.090577,8.981255,3.1231923,8.007687,9.971633,13.931218,8.548617,5.554327,4.22352
0.7065731681919482x-0.0902438496657506x1,0.82990456,1.6605165,4.72055,0.84544814,2.3202312,3.3936577,3.0998702,2.7084525,1.9645209,2.483924
0.010500020720820478x0.7316589270303925x1,1.139385,3.135897,3.6444416,1.7749265,5.190603,8.003924,5.9799404,4.136576,3.3446844,2.732875
1.7858704939058352x-0.06548837514448298x1,0.97158617,2.0447266,3.9211192,1.2582403,2.972533,3.7628343,4.8219037,3.6513216,2.958188,3.5722563
0.12691209270361992x0.34816923524180865x1,1.4364268,2.0699012,3.1286738,1.3588119,3.63582,6.107189,4.1460667,4.6568847,3.9711938,2.4021118
0.40198936344470165x0.663258089679174x1,1.5384165,2.7452786,5.0033054,1.6484756,4.3408976,5.66374,7.6140594,4.435629,3.5020635,2.4774473
1.8831506970562544x-1.1046165975264708x1,0.77064854,0.8750195,1.4920412,0.76992255,1.3679506,2.5167906,1.8334372,2.343773,1.9545372,1.5221186
-1.3477590611424464x-0.030936257273958937x1,0.9907171,1.6451848,2.5926943,1.1632048,2.6741316,3.7451906,4.19991,3.6350086,2.9387345,4.2815137
-1.2704849984857336x1.5788651944164882x1,2.847792,3.840975,5.2549624,2.8659835,8.0143,9.701897,6.454996,8.153773,7.8807325,6.7802825
0.9693967081580112x-0.795500550053291x1,0.76968145,0.811048,2.0456057,0.5865666,1.3896,3.2419517,2.0055518,2.7178783,1.5365344,1.3691605
-1.17312340511416x-0.5664398537322193x1,0.8180337,0.99054414,2.685829,0.7360811,2.1203976,7.413112,2.1806586,4.158104,3.3701823,4.783165
1.9436211856492926x-0.30769127736700175x1,1.2069908,1.3846319,3.6511579,1.1819648,2.5526834,6.3726645,4.5965385,5.5222716,2.9013512,2.746706
-0.41361898075974735x0.26902407317624666x1,1.4348732,2.354902,2.552416,1.3658224,5.293146,5.6052017,4.029336,4.7717886,4.0751357,4.667914
-0.7474548114407578x0.5249178636458827x1,1.5190092,2.1276712,2.7287798,1.3216594,4.390741,4.830102,4.908873,5.901408,5.1946387,5.0228357
1.9229420264803847x1.2674116548186567x1,3.0910819,4.852659,6.796078,3.7101352,8.365262,7.911339,9.125063,7.730312,7.621374,5.6577253
1.4805147914344243x0.49949823346865946x1,1.694893,3.7040164,8.183393,1.9515814,6.4954886,11.868819,11.113371,7.367878,7.7926416,5.400796
1.8675589604265699x-0.06205312579833403x1,0.97717696,1.9536824,3.6661243,1.2605989,2.921575,3.4765563,4.5055137,3.5470376,2.8976693,3.4515374
0.9060446582753853x1.2591671296108138x1,2.4328125,3.3493915,5.4789476,2.4732633,5.8785753,6.820229,7.180403,5.18224,4.271731,3.124008
-0.8612256850547025x0.7041110221415822x1,1.5897945,2.3015604,2.8140635,1.6244017,4.701139,5.2517557,4.80214,4.824622,4.3900127,3.9381456
1.9100649530990337x-1.4956795162570162x1,0.6260711,0.7000217,1.6948639,0.75748986,1.330841,2.6318781,1.4280986,2.1071558,1.4288917,1.2936726
-0.2680033709513804x2.5263682403559984x1,3.5062592,6.793676,5.573452,3.6446822,10.163308,12.709238,12.146619,9.376568,7.917071,5.090161
0.8024563957963952x1.7699213881967337x1,3.4088504,5.096365,7.475436,3.317475,7.870768,9.749143,9.808848,7.344387,5.112859,4.3385024
0.947251967773748x-0.1682142227670741x1,0.8700457,1.365221,5.3558,0.84270823,2.6309543,4.7402015,3.6105313,3.303422,1.9337713,2.8819165
-0.1550100930908342x0.37791010173847506x1,1.4147419,2.1816912,2.3627133,1.1593425,4.0348244,5.4310336,4.359359,4.478131,3.9228485,3.993271
0.6140793703460803x1.3243587499958391x1,2.5055022,3.8746648,4.697332,2.3695974,4.9204464,6.523641,6.538102,4.7349505,4.1329565,2.7609382
0.9222066715665268x-0.17220079269688263x1,0.83060145,1.3391247,5.018784,0.81925035,2.5658593,4.6958914,3.520815,3.2080464,1.9096236,2.717777
0.37642553115562943x0.7303517903770194x1,1.5843552,2.884793,4.906912,1.8781195,4.2712574,6.042932,7.729061,4.1324005,3.4802551,2.410965
-1.0994007905841945x1.1045784735714765x1,1.7770758,2.838177,3.0610192,1.8144002,5.5345,6.8671227,5.2369204,5.6561084,6.7986636,4.8539147
0.298238174206056x-1.014825907734441x1,0.5387121,0.6946077,1.0267035,0.46208474,0.9890298,2.0094905,1.4742657,1.5773977,1.2965053,0.8432822
1.3263858966870303x-0.6023318535828621x1,0.82404643,1.2127409,4.5754104,0.9346734,2.0279412,6.183262,3.5258634,3.7074714,2.6853974,3.2101123
-0.6945678597313655x0.9214083978105813x1,1.776591,2.5189917,2.595369,1.42581,4.097582,4.5229254,4.926269,6.0929203,3.8428667,5.107686
-0.14963454032767076x0.4608144771488305x1,1.3440601,2.022863,2.2548647,1.0783292,3.8524694,5.347514,4.6214366,4.335826,4.0876374,3.5998662
-0.43515355172163744x0.9237965603139469x1,1.61282,2.9829514,2.1580153,1.6363828,4.7204027,5.073016,4.847003,4.121263,3.2210994,4.742999
1.8492637284793418x-0.13256801465371804x1,0.9252134,1.993218,4.761482,1.1097585,3.0663953,3.5977998,3.9087648,3.536688,2.5997026,3.7110538
0.6722947570124355x-0.289005210954233x1,0.73340523,0.9892045,2.8704505,0.7023835,1.694922,4.0611286,2.6731677,2.710707,1.481079,1.6247929
0.40746183624111043x-1.9986394755833727x1,0.3963651,0.58939666,0.84578216,0.44595635,0.73323166,2.0451703,0.90973973,1.3524396,0.7104903,0.6564107
-0.7699160744453164x-1.1460004265074433x1,0.5915444,0.5330999,0.83975196,0.43980777,0.86808866,2.062562,1.1957501,2.0932274,1.440069,1.1678094
0.5392491912918173x0.04706609465849369x1,1.0214703,1.6569328,4.6260858,1.0889307,2.5783932,4.821681,5.1182075,4.2352166,2.5500777,3.1017737
-0.6743326606573761x0.8245572195642364x1,1.7506425,2.5801158,2.8791816,1.5875882,4.5306077,4.9977856,4.9886856,5.617146,4.051761,5.3129673
0.03183055827435118x0.5311783665356953x1,0.98009866,1.9263273,2.5108244,1.0068324,3.3056068,4.536982,3.9348426,3.1782527,2.8383594,2.087666
-0.635846078378881x-0.12824197402770202x1,0.8435061,1.3751409,2.2759519,0.75178283,2.37951,3.0024896,2.574231,3.1299202,1.9505557,3.1233356
0.6764332949464997x-0.27177156649069667x1,0.75406015,1.082445,3.2386556,0.72404724,1.7935014,4.0324903,2.7332823,2.752307,1.5413649,1.7680742
0.5765908166149409x0.21717963263828013x1,1.4738642,2.745105,7.1575465,1.5314862,4.6531944,8.568586,5.7120023,5.5902853,4.275181,3.9671955
-0.20829875557799488x0.07821118109215218x1,0.9598997,1.3604038,2.3930628,0.8794666,2.3166356,3.0767305,3.067261,2.9929957,2.336916,2.6399488
0.3960067126616453x1.404545514939712x1,4.1221776,6.7105966,9.011625,3.849298,9.61744,11.287122,16.034754,8.308982,6.6287503,4.0236964
-1.0930615087305058x0.14644077047824985x1,1.6145748,2.178131,4.2062616,1.3967716,5.40125,9.051506,4.2194386,6.3511834,6.07581,6.272465
-1.4912575927056055x-1.4812459621972984x1,0.59672314,0.63900715,1.4264939,0.658474,1.3580998,3.403008,1.1582407,2.189429,1.6780375,1.8217608
0.4393917012645369x-1.272558135032317x1,0.5285427,0.594227,1.041872,0.4958133,0.8940211,1.9935743,1.2105882,1.5560819,1.2066301,0.86749697
0.16667349537252904x1.5187593369635801x1,2.4328833,3.4124932,4.593903,2.294849,5.0914364,7.5430236,5.801296,5.168045,4.79278,2.5101352
0.6350314368921064x-1.1711604614500803x1,0.52873456,0.6622092,1.2335812,0.5022492,0.9511395,2.2561078,1.2942424,1.5663975,1.1664886,0.89325494
2.383144774863942x0.7644974530335336x1,2.1648705,3.6033525,7.316114,3.1331708,7.3328996,7.977755,7.3562584,6.4630866,6.2028804,6.0633
0.9444794869904138x-0.2683727352093812x1,1.057381,1.201396,4.7149534,0.88824695,2.534509,7.0640464,4.1937995,4.8868723,2.247554,2.5623536
-0.9128222254441586x-0.16975829390248548x1,0.9156974,1.4078829,2.4923615,0.8339041,2.7540767,4.243951,2.7274466,3.2668447,2.4585779,2.8850594
1.117016288095853x-0.1341327827684201x1,1.0350356,1.5417122,7.0900464,0.991104,2.9527454,4.6412783,4.0590515,3.5627172,2.0987651,3.8552186
-1.3159074105115212x1.2213849594591983x1,2.0489194,3.1051831,3.9611108,2.166588,6.4307823,8.009548,5.706591,6.36486,6.8101616,5.3969736
-0.461584604814709x-0.19284182854396467x1,0.83156,1.423426,2.6236987,0.83397156,3.279802,5.171974,2.7827976,3.3720114,2.5988023,3.374179
-0.06824160532463124x-0.03331928284515295x1,0.76612335,1.3928168,1.5130812,0.7764264,2.0894575,2.5333743,3.1819959,2.4846756,1.8322761,3.1295576
1.7133427216493666x-1.5308034973994926x1,0.57649523,0.7298469,1.6467242,0.70929486,1.1909429,2.3976882,1.4702519,1.8016846,1.3145097,1.2577509
-0.7447548220484399x0.2066905117080033x1,1.3416656,1.6738235,2.3856018,1.1210711,3.6542885,4.168833,3.3893538,4.1147056,3.7896314,4.1539345
-0.8264385386590144x0.5310425069780597x1,1.5434968,2.1440866,2.7194884,1.3749715,4.56125,5.015398,4.9536085,5.785231,5.347028,4.6311226
-0.0984525244254323x0.23914558065378702x1,1.1837167,1.9506772,2.3635578,1.0734259,4.191512,4.9166284,3.362914,3.885756,3.0768218,4.253473
-0.6634782863621074x1.3978962610867354x1,3.0182438,3.2826173,3.2968764,2.2737715,5.8954544,5.6827106,4.92289,6.7246056,6.31003,5.0600085
1.126635922106507x0.05517135478023174x1,1.2864622,1.6932805,8.229504,1.3637199,3.176037,6.3225436,5.663636,5.174977,3.0038831,4.3436685
-1.0799315083634233x0.2989774561190176x1,1.6883352,2.4915369,3.140052,1.3617063,5.726976,7.56474,4.255489,7.150257,6.498335,6.4628983
-1.1474686524111024x1.648504010268179x1,2.8222766,3.8951712,4.731174,2.651689,7.6980968,10.449172,6.573879,8.532827,8.247823,6.7099195
-0.43782004474443403x-1.5500141893581478x1,0.50352657,0.59342396,0.8136659,0.48015445,1.0592487,4.0977583,0.8961661,2.3606625,1.395587,1.213961
-0.4980324506923049x-0.45582534779936884x1,0.8287091,1.1659602,1.7388735,0.8442698,2.0656095,4.485117,2.677299,3.2931437,2.4773443,2.4582853
1.9295320538169858x1.4261587520192662x1,3.9875748,5.5321383,8.463074,4.6121526,10.067852,9.792153,10.071328,9.530191,8.291602,6.4561815
0.9494208069257608x0.9361291483110824x1,1.7086148,2.4672108,4.4650984,1.5680209,4.2823944,5.5071588,6.7079196,5.0362806,2.773068,3.262402
0.0875512413851909x0.6783800988404703x1,1.2226193,2.302151,3.6187055,1.542031,3.8876133,5.6728253,4.4685597,3.5470212,3.2060628,2.2976553
-1.225435518830168x0.8326507394644783x1,1.5186362,2.126996,2.8908715,1.5651115,4.0987916,5.1864204,4.087448,4.5137024,4.037793,4.360826
0.8443629764015471x0.3270662091210221x1,1.2587332,1.8617514,3.8294349,1.2115985,3.728759,5.52776,4.205225,3.9783635,2.8353953,2.8345978
-1.0002153473895647x1.6315974275322715x1,3.497083,4.317599,4.053822,2.9791334,8.98515,9.81945,7.421845,8.928728,8.655709,6.3614893
-1.5447710967776116x0.3777591697307179x1,1.9702383,2.7814796,4.570135,1.8691074,6.010944,8.465918,5.7890964,7.183729,7.005408,8.0341
1.1880297923523018x0.23986710589527857x1,1.581637,2.37487,6.7795224,1.5755222,4.4980226,7.073934,5.802164,5.3056264,3.7588823,4.640668
0.3169426119248496x0.15895867412564327x1,1.1564283,1.6983484,3.2948081,0.9860808,2.9129457,4.5261097,3.8683586,3.5800297,2.6820118,2.3481326
0.920858823780819x0.19286395555038602x1,1.3024949,1.9463934,6.1490884,1.3588419,4.397983,7.7296243,4.6112566,4.411705,3.3925073,3.7598543
0.3187276529430212x-1.1570172808158679x1,0.4779715,0.5798862,0.8663131,0.41676098,0.8144142,1.8853971,1.2485583,1.4861604,1.1507585,0.7649481
0.8568306119026912x0.7706730544633433x1,1.5341269,2.3836837,4.6364465,1.7927444,4.3659763,6.3119545,5.2578764,4.255785,3.1714325,2.7817135
-0.6510255933001469x-0.13043973378332732x1,0.83056223,1.3429264,2.2320278,0.73383164,2.2783759,2.8750403,2.5270102,3.089162,1.8729736,3.0001786
-1.0342428417844647x1.821915097860406x1,2.9629874,4.112805,3.7559013,2.8227274,7.76293,9.01676,7.023969,8.103488,7.0775867,6.2254133
0.681594518281627x-0.07565047058842289x1,0.8209644,1.644819,4.283322,0.85083884,2.2524781,3.3610106,3.1674545,2.6993995,1.9668086,2.395296
-0.8034096641738411x0.4209182841756566x1,1.7737719,2.123547,2.8688319,1.4397408,4.1178584,5.894161,5.101352,6.422849,5.5171614,4.4508495
-0.6895497777502005x0.24660218626133443x1,1.6343338,2.3146155,2.982888,1.347944,5.0689096,5.0418687,4.273919,6.037995,4.823344,6.151087
-0.45553250351734315x-0.6255570351092533x1,0.56810826,0.7963359,1.2078211,0.62200844,1.449957,4.1440587,1.4831861,2.2789812,1.9153538,1.8559283
